,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
0,100 Thieves,S10,NA,49,40.8%,0.85,1698,-58,33:36,10.9,12.8,5.6,6.7,44.9,51.0,2.49,50.3,0.96,53.1,1.00,-0.1,-754,0.55,42.4,31.6,1805,3.2,1.27,1.42
1,100 Thieves Academy,S10,NA,42,47.6%,0.94,1734,-12,33:18,12.9,13.8,6.2,5.9,38.1,45.2,2.19,44.9,0.93,48.8,0.88,0.0,-392,0.62,46.7,31.0,1955,3.1,1.31,1.37
2,1907 Fenerbahce,S10,TR,42,64.3%,1.24,1811,148,31:54,13.9,11.2,7.3,4.6,64.3,54.8,2.67,54.4,1.05,52.4,0.90,0.6,1491,0.69,57.7,32.6,1914,3.3,1.29,1.35
3,200Years,S10,RO,12,16.7%,0.49,1579,-317,28:15,10.8,22.3,3.8,7.3,33.3,41.7,1.67,38.1,0.92,45.8,1.17,-0.2,-1739,0.25,23.3,27.3,1780,2.2,0.85,0.92
4,5 Ronin,S10,TR,48,43.8%,0.85,1698,-26,32:51,11.2,13.2,5.5,6.7,45.8,43.8,2.44,48.9,1.02,51.0,1.04,0.0,-268,0.52,43.2,31.3,1730,3.0,1.11,1.27
5,7more7 Pompa Team Academy,S10,PL,3,100.0%,2.82,1982,391,30:05,20.7,7.3,8.7,2.7,33.3,66.7,2.67,61.7,1.33,66.7,0.67,0.3,1435,0.67,100.0,33.8,2340,3.1,1.41,1.45
6,Absolute Legends CZSK,S10,CZ,22,54.5%,1.04,1809,21,31:29,17.5,16.8,6.0,5.8,50.0,45.5,2.73,57.6,0.95,50.0,1.27,-0.3,-283,0.59,52.5,30.9,1949,3.2,1.24,1.02
7,Acumen,S10,RO,13,61.5%,1.39,1764,107,32:19,19.1,13.8,6.2,4.8,30.8,53.8,2.54,50.1,1.15,57.7,0.92,0.0,822,0.92,62.8,27.9,2233,2.8,1.01,0.88
8,Ad Hoc Gaming,S10,DE,50,52.0%,1.04,1770,39,33:13,13.7,13.1,6.6,6.1,56.0,58.0,2.26,45.6,1.22,63.3,0.84,0.6,1031,0.68,56.5,31.7,1908,3.1,1.19,1.31
9,Afreeca Freecs,S10,KR,113,51.3%,0.97,1725,-29,33:21,12.0,12.3,5.4,5.8,56.6,40.7,2.34,48.7,0.83,44.2,0.85,-0.1,-406,0.58,50.5,32.1,1795,3.6,1.43,1.83
10,AGO ROGUE,S10,PL,72,75.0%,1.41,1845,175,30:48,15.8,11.3,7.8,4.2,48.6,63.9,2.65,60.4,1.18,61.1,1.01,0.6,1328,0.65,67.2,31.6,2142,3.2,1.27,1.30
11,ahq e-Sports Club,S10,PCS,62,66.1%,1.23,1757,104,33:53,12.7,10.3,6.6,4.7,43.5,72.6,2.84,58.6,1.23,62.1,1.16,0.6,909,0.63,58.5,31.8,1871,3.2,1.28,1.60
