,id,name,real_name,win_per,wins,losses,num_of_games,rank,kills,deaths,assists,kda,server
0,4483,Akaadian,Matthew Higginbotham,41%,7,10,17,Diamond IV ,128,90,101,2.5444444444444443,NA1
1,4485,Aphromoo,Zaqueri Black,0%,0,1,1,Platinum I ,0,5,7,1.4,NA1
2,4500,Armut,İrfan Berk Tükek,48%,83,89,172,Master I ,1069,1018,943,1.9764243614931238,EUW1
3,4506,Bjergsen,Søren Bjerg,57%,34,26,60,Diamond I ,394,247,340,2.97165991902834,NA1
4,4507,Bang,Bae Jun-sik (배준식),44%,24,30,54,Diamond IV ,275,237,418,2.9240506329113924,KR
5,4509,Bdd,Kwak Bo-seong (곽보성),0%,0,1,1,Platinum I ,3,4,2,1.25,KR
6,4514,Boxbox,Albert Zheng,31%,11,24,35,Diamond II ,176,148,208,2.5945945945945947,NA1
7,4521,Broxah,Mads Brock-Pedersen,53%,50,44,94,Master I ,712,407,789,3.687960687960688,NA1
8,4527,Broken Blade,Sergen Çelik,64%,47,26,73,Grandmaster I ,508,395,442,2.4050632911392404,EUW1
9,4532,Caps,Rasmus Winther,55%,144,118,262,Grandmaster I ,1989,1863,1537,1.8926462694578636,EUW1
10,4541,Closer,Can Çelik,68%,34,16,50,Grandmaster I ,440,219,404,3.853881278538813,NA1
11,4544,Dardoch,Joshua Hartnett,47%,18,20,38,Grandmaster I ,261,208,237,2.394230769230769,NA1
12,4546,CoreJJ,Jo Yong-in (조용인),56%,91,71,162,Grandmaster I ,583,992,1960,2.563508064516129,NA1
13,4547,Ceos,Denilson Oliveira Gonçalves,54%,99,85,184,Grandmaster I ,592,1081,2650,2.9990749306197966,BR1
14,4548,Cpt Jack,Kang Hyung-woo (강형우),50%,23,23,46,Platinum II ,195,252,392,2.3293650793650795,KR
15,4552,Darshan,Darshan Upadhyaya,51%,42,40,82,Master I ,510,546,445,1.749084249084249,NA1
16,4556,Destiny,Mitchell Shaw,49%,136,143,279,Challenger I ,444,1195,3381,3.200836820083682,NA1
17,4560,Doublelift,Yiliang Peng,51%,132,129,261,Master I ,1522,1211,1781,2.727497935590421,NA1
18,4561,Deft,Kim Hyuk-kyu (김혁규),48%,165,180,345,Diamond I ,2012,1978,2518,2.290192113245703,KR
19,4563,DudsTheBoy,Igor Lima Homem,61%,56,36,92,Master I ,680,461,632,2.8459869848156183,BR1
20,4570,Envy,Bruno Farias,64%,14,8,22,Diamond I ,222,103,135,3.466019417475728,BR1
21,4572,Effort,Lee Sang-ho (이상호),58%,38,28,66,Master I ,111,306,867,3.196078431372549,KR
22,4578,FEBIVEN,Fabian Diepstraten,43%,23,31,54,Master I ,391,390,404,2.0384615384615383,EUW1
23,4587,Faker,Lee Sang-hyeok (이상혁),59%,131,91,222,Diamond I ,1445,961,1598,3.166493236212279,KR
24,4596,Armao,Jonathan Armao,60%,91,61,152,Grandmaster I ,1146,809,1392,3.137206427688504,NA1
25,4606,Hauntzer,Kevin Yarnell,34%,21,41,62,Master I ,331,367,304,1.7302452316076293,NA1
26,4609,hi im gosu,,40%,2,3,5,Diamond I ,31,36,29,1.6666666666666667,NA1
27,4611,Huni,Seung-Hoon Heo,50%,2,2,4,Platinum I ,21,30,40,2.033333333333333,NA1
28,4614,Impact,Jung Eon-yeong (정언영),57%,138,103,241,Master I ,1335,1208,1803,2.597682119205298,NA1
29,4616,Hans Sama,Steven Liv,78%,7,2,9,Diamond IV ,108,37,69,4.783783783783784,EUW1
30,4619,Hylissang,Zdravets Galabov,51%,41,40,81,Diamond I ,243,535,1122,2.5514018691588785,EUW1
31,4621,HolyPhoenix,Anıl Işık,50%,99,98,197,Grandmaster I ,1846,1472,1372,2.186141304347826,TR1
32,4622,IgNar,Dong-Geun Lee,52%,81,74,155,Master I ,342,760,1897,2.9460526315789473,NA1
33,4625,Jactroll,Jakub Skurzyński,25%,1,3,4,Platinum I ,8,27,48,2.074074074074074,EUW1
34,4627,Jankos,Marcin Jankowski,53%,149,131,280,Master I ,2408,1491,2382,3.2126089872568744,EUW1
35,4631,K1ng,Calvin Truong,55%,69,56,125,Master I ,1073,604,977,3.3940397350993377,OC1
36,4642,Lourlo,Samson Jackson,0%,0,3,3,Diamond IV ,30,23,12,1.826086956521739,NA1
37,4651,Lava,Kim Tae-hoon (김태훈),55%,161,134,295,Diamond I ,1886,1775,1887,2.1256338028169015,KR
38,4652,Kobbe,Kasper Kobberup,59%,26,18,44,Master I ,306,214,351,3.0700934579439254,NA1
39,4661,Licorice,Eric Ritchie,57%,128,97,225,Master I ,1400,1214,1247,2.1803953871499178,NA1
40,4674,micaO,Micael Rodrigues,47%,14,16,30,Diamond I ,194,126,211,3.2142857142857144,BR1
41,4681,Odoamne,Andrei Pascu,49%,110,114,224,Master I ,1362,1237,1332,2.1778496362166533,EUW1
42,4682,Khan,Kim Dong-ha (김동하),53%,104,92,196,Grandmaster I ,1029,1131,1152,1.9283819628647214,KR
43,4688,Mikyx,Mihael Mehle,56%,70,54,124,Challenger I ,359,800,1771,2.6625,EUW1
44,4696,Perkz,Luka Perković,43%,23,31,54,Platinum I ,359,358,385,2.078212290502793,NA1
45,4708,Tore,Tore Hoel Eilertsen,48%,48,52,100,Master I ,356,449,1318,3.728285077951002,EUW1
46,4713,Keith,Yuri Jew,54%,68,58,126,Master I ,1006,794,917,2.4219143576826196,NA1
47,4720,PowerOfEvil,Tristan Schrage,55%,103,84,187,Grandmaster I ,1291,1208,1439,2.2599337748344372,NA1
48,4729,Robo,Leonardo Souza,53%,55,49,104,Master I ,610,652,524,1.7392638036809815,BR1
49,4732,Rekkles,Martin Larsson,55%,132,108,240,Grandmaster I ,1361,850,2467,4.503529411764706,EUW1
50,4733,Ruler,Park Jae-hyuk (박재혁),51%,143,135,278,Master I ,1716,1560,1703,2.191666666666667,KR
