,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
0,100 Thieves,S11,NA,89,60.7%,1.16,1802,75,33:21,13.5,11.6,6.8,5.1,49.4,62.9,2.67,57.3,1.17,59.6,1.08,0.4,792,0.76,58.2,32.9,1860,3.5,1.39,1.57
1,100 Thieves Academy,S11,NA,93,61.3%,1.21,1852,105,31:13,17.5,14.5,6.8,5.0,49.5,53.8,2.54,57.2,1.04,52.7,1.14,0.5,709,0.76,52.7,31.7,2267,3.1,1.26,1.35
2,100 Thieves Next,S11,NA,4,0.0%,0.37,1597,-567,26:43,9.0,24.3,1.8,10.3,75.0,-,1.00,29.2,0.25,12.5,0.75,-2.8,-5270,0.00,0.0,29.2,1773,2.9,1.11,1.48
3,1907 Fenerbahce,S11,TR,51,45.1%,0.85,1726,-68,31:16,12.4,14.5,4.9,6.6,47.1,35.3,2.20,47.7,1.00,50.0,0.94,-0.3,-1216,0.67,46.3,31.3,1776,2.9,1.14,1.27
4,4Elements Esports,S11,BE,13,23.1%,0.75,1690,-144,30:21,11.7,15.5,3.6,7.4,46.2,15.4,2.31,52.3,0.69,38.5,1.31,-0.8,-1013,0.38,33.3,31.5,1781,2.8,1.16,1.03
5,5 Ronin,S11,TR,37,37.8%,0.93,1736,-29,33:24,12.2,13.0,5.6,6.8,59.5,51.4,2.27,47.1,1.05,52.7,0.76,-0.3,339,0.65,44.3,32.2,1745,3.5,1.33,1.48
6,Ad Hoc Gaming,S11,DE,18,33.3%,0.74,1737,-132,30:53,11.6,15.8,5.2,7.3,44.4,50.0,1.61,32.6,1.00,50.0,0.56,-0.4,-564,0.61,34.3,31.9,1723,3.0,1.37,1.11
7,Afreeca Challengers,S11,KR,44,40.9%,0.92,1722,-78,33:02,11.7,12.8,5.3,6.5,43.2,45.5,2.14,44.3,0.84,42.0,0.84,-0.1,-463,0.64,39.0,31.9,1809,3.5,1.43,1.60
8,Afreeca Freecs,S11,KR,96,43.8%,0.94,1747,-38,34:22,11.7,12.4,5.6,6.3,63.5,57.3,2.52,53.1,1.13,58.9,0.94,0.1,242,0.59,43.3,33.2,1854,3.8,1.51,1.89
9,AGO ROGUE,S11,PL,76,65.8%,1.40,1871,178,31:43,16.8,11.9,7.1,4.8,48.7,57.9,2.50,56.8,1.00,50.7,1.09,0.5,1696,0.64,57.8,32.7,2121,3.1,1.17,1.37
10,All Knights,S11,LAT,40,42.5%,0.87,1731,-38,33:46,12.9,14.7,5.5,6.2,50.0,50.0,2.05,42.3,1.08,53.8,0.63,-0.3,-205,0.73,44.7,31.6,1969,3.0,1.33,1.39
11,Alpha Esports,S11,PCS,37,16.2%,0.47,1638,-317,28:31,9.5,20.1,3.1,8.0,24.3,24.3,1.51,36.6,0.62,31.1,0.81,-0.8,-2134,0.27,29.7,30.6,1723,2.9,1.12,1.25
12,Anorthosis Famagusta Esports,S11,GR,83,61.4%,1.12,1882,102,30:14,19.6,17.4,6.8,5.2,57.8,63.9,2.23,52.8,1.02,54.2,0.99,0.3,611,0.70,54.1,30.8,2299,2.9,1.12,1.22
13,Area of Effect Esports,S11,NA,8,37.5%,0.81,1706,-63,35:49,13.8,16.9,5.9,7.5,25.0,12.5,2.25,44.0,0.25,12.5,0.88,-1.0,-1435,0.75,58.3,30.6,1976,3.4,1.20,1.35
14,Astralis,S11,EUW,36,36.1%,0.78,1698,-150,32:56,12.3,15.7,4.5,7.6,36.1,30.6,2.03,43.1,0.72,36.1,0.81,-0.5,-1746,0.56,39.4,31.1,1867,3.3,1.35,1.24
15,Asus ROG Elite,S11,RS,30,13.3%,0.58,1617,-325,30:31,10.9,18.9,2.4,8.5,53.3,16.7,1.33,27.1,0.40,23.3,0.70,-1.1,-2185,0.27,17.9,30.1,1645,2.6,0.98,0.97
16,Atletec,S11,FR,23,52.2%,1.11,1803,47,32:44,19.2,17.3,7.0,5.3,39.1,69.6,2.91,62.3,1.04,56.5,1.48,0.7,1454,0.57,45.5,29.0,2281,3.1,1.31,1.31
17,AXIZ,S11,JP,38,47.4%,0.94,1759,-20,33:48,14.3,15.2,5.7,5.5,52.6,47.4,2.45,49.9,1.08,53.9,1.08,-0.1,-203,0.63,50.0,31.8,2049,3.5,1.50,1.62
18,AXIZ Academy,S11,JP,8,25.0%,0.71,1668,-131,30:31,11.5,16.1,4.1,6.6,37.5,37.5,0.75,18.5,1.75,87.5,0.13,0.0,-262,0.50,42.9,29.8,1677,3.3,1.14,1.16
