Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	HERPG	HER%	DRA@15	TD@15	GD@15	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
100 Thieves	S12	NA	6	50.0%	1.29	1820	132	31:15	12.7	9.8	6.8	4.7	33.3	50.0	1.83	45.6	1.50	75.0	0.67	0.5	1521	0.50	50.0	33.6	1841	3.1	1.35	1.50
100 Thieves Academy	S12	NA	4	75.0%	1.26	1860	117	31:51	15.8	12.5	7.5	4.8	75.0	25.0	1.50	35.0	0.75	37.5	0.00	-0.3	-294	0.75	75.0	33.4	2125	2.9	1.29	1.25
1907 Fenerbahce	S12	TR	2	0.0%	0.44	1747	-270	35:58	11.0	25.0	3.5	9.5	50.0	50.0	2.00	33.3	1.50	75.0	1.00	0.0	-1324	0.50	16.7	32.7	2236	3.1	1.27	1.29
5 Ronin	S12	TR	2	100.0%	3.17	2041	431	25:19	19.0	6.0	10.0	2.5	-	50.0	3.50	100.0	1.00	50.0	2.00	0.0	2855	1.00	100.0	32.7	1970	2.9	1.40	1.04
5 Ronin Academy	S12	TR	2	0.0%	0.45	1612	-289	30:57	6.5	14.5	2.5	9.0	50.0	50.0	2.00	53.3	1.00	50.0	1.00	0.0	-2154	0.00	0.0	31.9	1265	2.7	1.03	1.36
AGO ROGUE	S12	PL	4	100.0%	5.25	2164	644	29:14	26.3	4.8	10.3	1.8	75.0	50.0	3.25	73.8	1.50	75.0	1.00	0.5	2523	1.50	100.0	35.0	2496	2.7	1.12	1.45
aNc Outplayed	S12	IT	2	50.0%	0.59	1597	-146	37:18	10.0	17.0	5.5	7.0	-	100.0	3.00	55.0	0.50	25.0	1.00	0.0	-992	0.00	0.0	28.9	2249	2.9	1.10	1.53
Anorthosis Famagusta Esports	S12	GR	2	50.0%	0.71	1744	-57	35:15	12.5	17.0	6.5	6.0	50.0	50.0	2.50	41.1	1.50	75.0	0.00	0.0	-1472	1.00	50.0	31.2	1668	3.1	0.84	1.26
Anyone s Legend	S12	CN	16	37.5%	0.97	1776	-64	31:45	12.9	13.4	4.9	6.6	75.0	37.5	2.63	62.4	-	-	-	-	-	0.69	50.0	32.8	1725	-	-	-
Astralis	S12	EUW	5	0.0%	0.67	1650	-284	34:48	10.6	15.6	2.8	9.6	60.0	-	1.60	32.3	0.20	10.0	0.60	-0.8	-2171	0.40	26.7	30.8	1832	3.4	1.64	1.37
Astralis Talent	S12	EUW	5	40.0%	1.08	1719	48	35:51	12.8	11.8	7.0	5.4	20.0	60.0	2.60	52.0	1.20	60.0	0.80	0.2	125	0.80	60.0	30.7	2244	3.0	1.14	1.45
Atleta Esport	S12	IT	2	0.0%	0.69	1654	-131	39:49	13.0	18.0	5.0	8.0	50.0	50.0	2.50	41.7	1.50	75.0	1.50	0.0	179	0.50	50.0	30.6	1763	3.2	1.07	1.14
Atletec	S12	FR	3	100.0%	1.77	1927	303	32:04	17.7	10.0	9.0	3.0	66.7	33.3	2.00	38.9	1.00	50.0	1.00	0.0	800	1.33	100.0	32.4	2382	3.4	1.44	1.19
Auxesis Esports	S12	RS	3	33.3%	0.75	1680	-164	38:07	15.0	20.0	5.7	7.0	-	33.3	2.00	33.3	1.33	66.7	0.00	-0.7	-1049	0.67	33.3	29.7	2060	2.7	0.92	1.11
Axolotl	S12	IT	2	0.0%	0.36	1596	-235	30:37	4.5	12.5	3.0	10.0	50.0	-	1.50	32.5	1.00	50.0	1.00	-0.5	-115	0.00	0.0	32.0	1553	3.1	1.31	1.40
Barça eSports	S12	ES	5	60.0%	0.90	1759	-19	29:46	11.0	12.2	7.0	5.0	80.0	20.0	1.60	35.7	0.80	40.0	1.00	-0.2	-395	0.60	50.0	32.6	1738	2.7	1.20	1.35
beGenius ESC	S12	FR	3	0.0%	0.20	1421	-531	27:22	3.0	15.3	0.0	9.7	33.3	-	1.67	47.2	0.00	0.0	1.00	-1.0	-3216	0.00	0.0	30.2	1203	2.4	1.07	1.06
Berlin International Gaming	S12	DE	5	20.0%	0.65	1651	-183	33:25	11.0	17.0	4.6	8.2	20.0	60.0	1.80	39.0	0.60	40.0	0.40	-0.4	-1230	0.40	20.0	29.9	1800	3.0	1.26	1.29
Besiktas Academy	S12	TR	2	0.0%	0.22	1479	-560	26:15	4.0	18.5	0.5	10.0	-	-	0.00	0.0	1.00	50.0	0.00	-1.5	-3830	0.00	0.0	29.6	1417	2.6	1.31	0.84
Besiktas Esports	S12	TR	2	50.0%	1.20	1794	-110	33:02	18.0	15.0	5.0	8.0	-	-	3.00	54.2	0.50	25.0	1.00	-1.0	-2306	1.50	83.3	31.1	1770	3.0	1.27	1.17
Bifrost	S12	EUW	5	80.0%	1.76	1892	231	32:04	17.2	9.8	7.8	4.4	20.0	40.0	2.60	52.7	1.40	70.0	0.40	0.2	862	0.80	70.0	31.8	2107	3.1	1.32	1.27
Bilibili Gaming	S12	CN	12	66.7%	1.51	1860	114	32:06	16.0	10.5	7.0	4.8	58.3	66.7	1.92	43.3	-	-	-	-	-	0.92	59.7	31.9	2001	-	-	-
Bilibili Live	S12	CN	4	25.0%	0.51	1607	-434	28:32	12.5	24.8	2.5	9.3	25.0	25.0	1.25	32.5	-	-	-	-	-	0.50	33.3	28.7	1783	-	-	-
BISONS ECLUB	S12	ES	5	40.0%	0.89	1736	-18	33:59	11.8	13.2	6.2	6.4	20.0	40.0	2.20	48.6	0.20	10.0	0.60	0.0	-1377	0.60	60.0	32.1	2133	3.3	1.34	1.50
BK ROG Esports	S12	FR	3	33.3%	1.05	1787	68	34:51	14.7	14.0	6.7	5.7	33.3	100.0	2.67	52.4	1.67	83.3	0.33	0.7	787	0.67	44.4	32.2	2318	3.3	1.13	1.78
Boavista FC	S12	PT	3	0.0%	0.38	1542	-313	29:00	6.0	16.0	2.0	8.0	33.3	33.3	2.00	48.3	0.67	33.3	1.67	-1.0	-1837	0.00	0.0	30.4	1400	2.8	1.24	0.96
BRO Challengers	S12	KR	20	45.0%	0.95	1810	-18	32:15	16.8	17.6	6.2	6.2	55.0	65.0	2.10	47.3	1.40	70.0	0.85	0.2	690	0.55	49.0	30.5	2130	2.7	1.20	1.51
BRUTE	S12	CZ	3	33.3%	0.61	1634	-172	27:31	7.7	12.7	4.3	5.7	33.3	33.3	2.33	53.3	1.00	50.0	1.67	-0.7	-1713	0.00	0.0	31.8	1574	2.7	1.10	1.02
Chief Esports Club	S12	OCE	1	100.0%	1.09	1881	292	40:01	12.0	11.0	10.0	3.0	-	100.0	2.00	33.3	1.00	50.0	0.00	2.0	2018	2.00	100.0	32.7	2165	3.3	1.40	2.00
CLG	S12	NA	7	42.9%	0.67	1742	-118	30:15	9.7	14.6	5.3	6.3	42.9	14.3	1.71	49.5	0.43	21.4	0.71	-0.4	-1482	0.57	42.9	31.9	1617	3.2	1.32	1.30
