,team_id,team_name,region,players_id,players,wins,loses
0,189,FlyQuest,North America,"['4661', '5611', '5861', '6123', '6491']","['Licorice', 'Dreams', 'Palafox', 'Johnsun', 'Josedeodo']",68,62
1,16,Golden Guardians,North America,"['4762', '5953', '6194', '6198', '6352']","['Stixxay', 'Ablazeolive', 'Chime', 'Solo', 'Iconic']",68,62
2,19,Counter Logic Gaming,North America,"['4521', '4760', '4928', '5794', '6139']","['Broxah', 'Smoothie', 'Damonte', 'Finn', 'Pobelter']",68,62
3,22,100 Thieves,North America,"['4541', '4757', '5574', '5641', '5723']","['Closer', 'Ssumday', 'Abbedagge', 'Huhi', 'FBI']",68,62
4,13,Team Liquid,North America,"['4546', '4626', '4734', '5603', '5858', '5867']","['CoreJJ', 'Jensen', 'Santorin', 'Alphari', 'Tactical', 'Jenkins']",68,62
5,1,TSM,North America,"['4611', '4720', '5857', '5900', '6320']","['Huni', 'PowerOfEvil', 'Spica', 'Lost', 'SwordArt']",68,62
6,18,Evil Geniuses,North America,"['4550', '4614', '4622', '4791', '5477', '6490']","['Deftly', 'Impact', 'IgNar', 'Svenskeren', 'Jiizuke', 'Danny']",68,62
7,66,TSM Academy,North America,"['4533', '4606', '5714', '6116', '6360', '6371', '6515']","['Cody Sun', 'Hauntzer', 'Babip', 'Evolved', 'Fizzi', 'Sword', 'Yursan']",68,62
8,67,Streamers,North America,"['4506', '4514', '4548', '4560', '4609', '4736', '4759', '4786', '4913', '4914', '4938', '4943', '4978', '5005', '5023', '5081', '5105', '5292', '5293', '5333', '5388', '5398', '5461', '5466', '5494', '5598', '6137', '6138', '6145', '6334', '6478']","['Bjergsen', 'Boxbox', 'Cpt Jack', 'Doublelift', 'hi im gosu', 'Rush', 'Sneaky', 'Shiphtur', 'Imaqtpie', 'Scarra', 'Adrian Riven', 'Valkrin', 'Annie Bot', 'Tyler1', 'IWillDominate', 'Voyboy', 'TF Blade', 'Nightblue3', 'Pants are Dragon', 'Cowsep', 'LL Stylish', 'Singed420', 'Irelia Carries U', 'Yassuo', 'Gripex', 'Heisendong', 'SirhcEz', 'Noway4u', 'LS', 'Uzi', 'Nemesis']",68,62
9,20,Immortals,North America,"['4556', '5109', '5638', '5732', '5880', '6143']","['Destiny', 'WildTurtle', 'Xerxe', 'Raes', 'Insanity', 'Revenge']",68,62
10,21,Dignitas,North America,"['4485', '4544', '5644', '5853', '6189']","['Aphromoo', 'Dardoch', 'Soligo', 'FakeGod', 'Neo']",68,62
11,81,IMT Academy,North America,"['4713', '5736', '5998', '6357', '6364']","['Keith', 'Topoon', 'Potluck', 'Joey', 'Pretty']",68,62
12,79,Dignitas Academy,North America,"['4483', '4642', '5643', '5862', '6370']","['Akaadian', 'Lourlo', 'JayJ', 'Yusui', 'Spawn']",68,62
13,88,EG Academy,North America,"['4537', '6358', '6368', '6374', '6494', '6495']","['Contractz', 'Mystiques', 'Shoryu', 'Tony Top', 'TeamLuke', 'jojopyun']",68,62
14,87,GGS Academy,North America,"['5855', '6175', '6353', '6354', '6365', '6375']","['Prismal', 'Tally', 'Newbie', 'Niles', 'RoseThorn', 'Yunbee']",68,62
15,89,TL Academy,North America,"['4596', '5722', '5727', '6496']","['Armao', 'Eyla', 'Haeri', 'Yeon']",68,62
